month,day,hour,outdoor_temp_c,facility_power_w,zone_temps_c,zone_rh_pct,zone_pmv,current_cooling_c,current_heating_c,cooling_c,heating_c,source,rationale
7,14,0,20.21666666666667,6467.832606606397,"{'CORE_ZN': 24.246908570182153, 'PERIMETER_ZN_1': 24.020351703989554, 'PERIMETER_ZN_2': 24.373937842100904, 'PERIMETER_ZN_3': 24.02106525458978, 'PERIMETER_ZN_4': 24.571271059020034}","{'CORE_ZN': 51.04554416556915, 'PERIMETER_ZN_1': 49.79438496407702, 'PERIMETER_ZN_2': 48.59869103925361, 'PERIMETER_ZN_3': 49.8363356621455, 'PERIMETER_ZN_4': 44.48035353255933}","{'CORE_ZN': -0.480133836839704, 'PERIMETER_ZN_1': -0.5185021619808992, 'PERIMETER_ZN_2': -0.4514193086756401, 'PERIMETER_ZN_3': -0.5180907872532632, 'PERIMETER_ZN_4': -0.4050493284437232}",24.0,20.0,28.0,16.0,agent,Deep setback for unoccupied hours to minimize energy use
7,14,1,17.8,4778.024130804039,"{'CORE_ZN': 24.40931532134268, 'PERIMETER_ZN_1': 24.386674637208483, 'PERIMETER_ZN_2': 24.463143172478045, 'PERIMETER_ZN_3': 24.42743646986091, 'PERIMETER_ZN_4': 24.843072661496002}","{'CORE_ZN': 56.023065879309485, 'PERIMETER_ZN_1': 53.23316584056792, 'PERIMETER_ZN_2': 53.74964415287559, 'PERIMETER_ZN_3': 53.124689740230316, 'PERIMETER_ZN_4': 50.47294716856524}","{'CORE_ZN': -0.4062771448934074, 'PERIMETER_ZN_1': -0.4407443147434447, 'PERIMETER_ZN_2': -0.4059315208555213, 'PERIMETER_ZN_3': -0.4284883948733853, 'PERIMETER_ZN_4': -0.30045729956581163}",28.0,16.0,26.0,16.0,agent,Pre-conditioning the building for unoccupied hours while ensuring it will be comfortable by morning.
7,14,3,17.2,4778.024130804039,"{'CORE_ZN': 24.267241130161153, 'PERIMETER_ZN_1': 24.186639481127155, 'PERIMETER_ZN_2': 24.268740958129946, 'PERIMETER_ZN_3': 24.244096577892126, 'PERIMETER_ZN_4': 24.6352312201148}","{'CORE_ZN': 58.49873934395563, 'PERIMETER_ZN_1': 56.427927818510845, 'PERIMETER_ZN_2': 56.78647960672725, 'PERIMETER_ZN_3': 56.2466578357966, 'PERIMETER_ZN_4': 54.418134452401304}","{'CORE_ZN': -0.432824348378727, 'PERIMETER_ZN_1': -0.48410452637632384, 'PERIMETER_ZN_2': -0.44823780736379576, 'PERIMETER_ZN_3': -0.4664724377436069, 'PERIMETER_ZN_4': -0.33934655201119535}",26.0,16.0,26.0,20.0,agent,Pre-conditioning for occupancy at 06:00
7,14,5,19.4,5037.1394764934275,"{'CORE_ZN': 25.52147830297391, 'PERIMETER_ZN_1': 25.44721697395615, 'PERIMETER_ZN_2': 25.99921832063199, 'PERIMETER_ZN_3': 25.62188880071448, 'PERIMETER_ZN_4': 25.998854293886797}","{'CORE_ZN': 55.5686376564589, 'PERIMETER_ZN_1': 53.577826076957, 'PERIMETER_ZN_2': 51.93641613333039, 'PERIMETER_ZN_3': 53.032173311626366, 'PERIMETER_ZN_4': 51.3366097201997}","{'CORE_ZN': -0.15508694548760973, 'PERIMETER_ZN_1': -0.1895911659448662, 'PERIMETER_ZN_2': -0.0007434567361201924, 'PERIMETER_ZN_3': -0.1362033381685575, 'PERIMETER_ZN_4': -0.02510250839646526}",26.0,20.0,28.0,16.0,agent,Aggressive setback to save energy during unoccupied hours
7,14,7,21.7,12169.022648772958,"{'CORE_ZN': 26.769739315749, 'PERIMETER_ZN_1': 26.920571865052562, 'PERIMETER_ZN_2': 27.999709427682618, 'PERIMETER_ZN_3': 26.92951834351907, 'PERIMETER_ZN_4': 27.473110818606305}","{'CORE_ZN': 58.41395752809394, 'PERIMETER_ZN_1': 56.08722325256018, 'PERIMETER_ZN_2': 52.40567230373377, 'PERIMETER_ZN_3': 56.06360825948945, 'PERIMETER_ZN_4': 53.964932883663984}","{'CORE_ZN': 0.2728893248914954, 'PERIMETER_ZN_1': 0.31907557339128406, 'PERIMETER_ZN_2': 0.6908450919903827, 'PERIMETER_ZN_3': 0.31929909965172304, 'PERIMETER_ZN_4': 0.47482030664484237}",28.0,16.0,25.0,19.0,agent,Set zone temperatures back to comfort band due to occupied hours
7,14,9,23.3,14814.696166894708,"{'CORE_ZN': 24.999523631692803, 'PERIMETER_ZN_1': 24.99951858054938, 'PERIMETER_ZN_2': 24.9996406425646, 'PERIMETER_ZN_3': 24.999589884708158, 'PERIMETER_ZN_4': 24.999695786516426}","{'CORE_ZN': 56.30846650132851, 'PERIMETER_ZN_1': 53.24409344369556, 'PERIMETER_ZN_2': 51.19699959358927, 'PERIMETER_ZN_3': 53.669805325403665, 'PERIMETER_ZN_4': 51.451616405956976}","{'CORE_ZN': -0.12752164001873156, 'PERIMETER_ZN_1': -0.08567151217077683, 'PERIMETER_ZN_2': -0.005024012595625614, 'PERIMETER_ZN_3': -0.10244743405611768, 'PERIMETER_ZN_4': -0.08395579577082715}",25.0,19.0,25.0,20.0,agent,"Occupants are comfortable with current cooling setpoint, so we"
7,14,11,24.4,14122.85194884847,"{'CORE_ZN': 24.99924075931281, 'PERIMETER_ZN_1': 24.999408018571838, 'PERIMETER_ZN_2': 24.99967352005159, 'PERIMETER_ZN_3': 24.999517242652743, 'PERIMETER_ZN_4': 24.99966668672085}","{'CORE_ZN': 54.34291702210544, 'PERIMETER_ZN_1': 50.04598121703177, 'PERIMETER_ZN_2': 50.584936786933966, 'PERIMETER_ZN_3': 51.155071884975214, 'PERIMETER_ZN_4': 49.18653803893994}","{'CORE_ZN': -0.13787050000299542, 'PERIMETER_ZN_1': -0.07907009361195494, 'PERIMETER_ZN_2': -0.07156363772645999, 'PERIMETER_ZN_3': -0.11459729853597854, 'PERIMETER_ZN_4': -0.09729303677497066}",25.0,20.0,25.0,20.0,fallback_error,decide_fn failed: 
7,14,13,24.4,15119.353422144559,"{'CORE_ZN': 24.998874661964265, 'PERIMETER_ZN_1': 24.999013187589185, 'PERIMETER_ZN_2': 24.999412395627484, 'PERIMETER_ZN_3': 24.99913605534193, 'PERIMETER_ZN_4': 24.99924004485693}","{'CORE_ZN': 54.28191969047058, 'PERIMETER_ZN_1': 50.50262073222438, 'PERIMETER_ZN_2': 51.63335140150798, 'PERIMETER_ZN_3': 51.70074328378792, 'PERIMETER_ZN_4': 49.017794918399346}","{'CORE_ZN': -0.12142282215200909, 'PERIMETER_ZN_1': -0.06781686508237943, 'PERIMETER_ZN_2': -0.057142606865785345, 'PERIMETER_ZN_3': -0.09576869030380011, 'PERIMETER_ZN_4': -0.015943123884067562}",25.0,20.0,25.0,20.0,fallback_error,decide_fn failed: 
7,14,15,23.3,15104.442336402728,"{'CORE_ZN': 24.999438043376692, 'PERIMETER_ZN_1': 24.999511670938084, 'PERIMETER_ZN_2': 24.999691874804782, 'PERIMETER_ZN_3': 24.999550209984964, 'PERIMETER_ZN_4': 24.99942463330786}","{'CORE_ZN': 53.54107680351624, 'PERIMETER_ZN_1': 50.27383287156454, 'PERIMETER_ZN_2': 51.18289083333758, 'PERIMETER_ZN_3': 50.96635911400297, 'PERIMETER_ZN_4': 45.8005862933923}","{'CORE_ZN': -0.11171121757173244, 'PERIMETER_ZN_1': -0.07610615955445699, 'PERIMETER_ZN_2': -0.05821543661328817, 'PERIMETER_ZN_3': -0.08859229392228227, 'PERIMETER_ZN_4': 0.0643419199033677}",25.0,20.0,25.0,20.0,agent,Finalizing current setpoints as no change is needed.
7,14,17,21.1,7394.824758014021,"{'CORE_ZN': 24.99994558877755, 'PERIMETER_ZN_1': 24.99996275121884, 'PERIMETER_ZN_2': 24.99997395039048, 'PERIMETER_ZN_3': 24.999951079535137, 'PERIMETER_ZN_4': 24.999918420045322}","{'CORE_ZN': 51.74751649353168, 'PERIMETER_ZN_1': 48.878704656489326, 'PERIMETER_ZN_2': 49.202273388172955, 'PERIMETER_ZN_3': 49.151300874962004, 'PERIMETER_ZN_4': 44.00147170595724}","{'CORE_ZN': -0.1829356707040393, 'PERIMETER_ZN_1': -0.16707365040373667, 'PERIMETER_ZN_2': -0.15394301669756544, 'PERIMETER_ZN_3': -0.1537379124886251, 'PERIMETER_ZN_4': -0.03286001240365367}",25.0,20.0,24.0,19.0,agent,Pre-cooling the building slightly to prepare for a comfortable PMV of -0.5 to +0.5 when occupancy resumes in an hour.
